name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_per_night,days_since_last_review
Big Brooklyn bedroom near subway/Prospect Park,9361557,Brooklyn,Prospect-Lefferts Gardens,40.66275,-73.96122,Private room,65,10,94,2,0,6.5,685.0
Cozy Bedroom on UWS steps to CPW !!,50032395,Manhattan,Upper West Side,40.80029,-73.96626,Private room,75,1,1,2,188,75.0,1197.0
Apt. across from Lincoln Center,63294576,Manhattan,Upper West Side,40.77248,-73.98108,Entire home/apt,195,1,3,1,0,195.0,988.0
"Spacious loft apt, with plenty of light",3803638,Brooklyn,Bedford-Stuyvesant,40.69178,-73.95917,Entire home/apt,99,3,35,1,39,33.0,7.0
Clean Cozy Room in Manhattan,45859087,Manhattan,Harlem,40.82247,-73.95341,Private room,70,30,25,2,187,2.3333333333333335,170.0
Lavish Studio Apt in Midtown West NYC!,30283594,Manhattan,Hell's Kitchen,40.76078,-73.99864,Entire home/apt,199,30,0,121,365,6.633333333333334,0.0
Sunny Room near subway!!,18221107,Manhattan,Inwood,40.86087,-73.92724,Private room,65,3,36,1,249,21.666666666666668,393.0
Beautiful loft in DUMBO Brooklyn,17782625,Brooklyn,Vinegar Hill,40.70211,-73.98418,Entire home/apt,245,2,3,2,0,122.5,572.0
Spacious Bright + Clean Studio Near Central Park,1414412,Manhattan,Upper East Side,40.77384,-73.95619,Entire home/apt,150,4,17,1,26,37.5,188.0
"Lovely, spacious room",35211977,Brooklyn,Bushwick,40.70578,-73.92375,Private room,55,1,1,1,0,55.0,1197.0
"Beautiful Flatiron 3 Bedroom, 2 Bath Loft",63407204,Manhattan,Flatiron District,40.73987,-73.98982,Entire home/apt,650,5,42,1,335,130.0,45.0
Private Room in NYC Apartment,60617592,Queens,Astoria,40.76487,-73.91377,Private room,50,1,1,1,0,50.0,1201.0
Lovely home located by pier,63291733,Brooklyn,Canarsie,40.63672,-73.88814,Entire home/apt,81,2,43,1,309,40.5,9.0
Beautiful Artsy 1BD Home,39476438,Manhattan,Harlem,40.81487,-73.93937,Entire home/apt,92,5,4,2,0,18.4,314.0
"Private Room w/Wifi, Prime Location",20348541,Manhattan,West Village,40.73146,-74.00392,Private room,105,1,14,1,0,105.0,1105.0
Beautiful 2 Bedroom  Apt w/ One Bedroom for Rent,10750483,Manhattan,East Harlem,40.79556,-73.9325,Private room,89,4,1,1,365,22.25,187.0
Spacious 5 Bedroom Apt Williamsburg,30733725,Brooklyn,Williamsburg,40.71283,-73.95785,Entire home/apt,348,2,1,1,0,174.0,1177.0
1st Floor Apt in Heart of Brooklyn,3752523,Brooklyn,Crown Heights,40.66952,-73.94287,Entire home/apt,168,2,63,2,344,84.0,31.0
Spacious Bushwick BR; Yard! ~175ft to Subway,40883799,Brooklyn,Bushwick,40.70518,-73.92165,Private room,65,1,52,3,179,65.0,9.0
Rock & Roll Living in the Heart of NYC,3937437,Manhattan,East Village,40.72093,-73.97964,Entire home/apt,100,2,0,1,0,50.0,0.0
Spacious Harlem Brownstone apartment,63499716,Manhattan,Harlem,40.80678,-73.94976,Entire home/apt,175,4,130,1,53,43.75,5.0
PRIVATE GARDEN-LEVEL CITY OASIS!,3577509,Brooklyn,Bedford-Stuyvesant,40.69175,-73.93504,Entire home/apt,100,4,113,2,287,25.0,13.0
Cozy Modern Luxury with Full Balcony,63506844,Brooklyn,Flatbush,40.63397,-73.9654,Entire home/apt,119,3,121,1,280,39.666666666666664,0.0
Sunny and Charming BedStuy 1-BR/Studio Apt,4323335,Brooklyn,Bedford-Stuyvesant,40.686,-73.94629,Entire home/apt,105,4,22,1,11,26.25,9.0
Sunny Apartment in Crown Heights,2103550,Brooklyn,Crown Heights,40.67765,-73.95432,Entire home/apt,200,1,0,1,0,200.0,0.0
SoHo Studio on Spring Street,4392739,Manhattan,SoHo,40.72671,-74.01035,Entire home/apt,290,2,69,1,99,145.0,30.0
cozy bedroom in BedStuy Brooklyn,35362734,Brooklyn,Bedford-Stuyvesant,40.67958,-73.92509,Private room,62,1,0,1,0,62.0,0.0
Cozy Nest 15 Minutes From Midtown,50661711,Manhattan,Washington Heights,40.83288,-73.94306,Private room,70,1,0,1,0,70.0,0.0
Sunny Spacious Crown Heights Studio,174570,Brooklyn,Crown Heights,40.67807,-73.95913,Entire home/apt,65,4,1,1,0,16.25,1142.0
Beautiful TriBeCa Apartment,63544192,Manhattan,Tribeca,40.71893,-74.00485,Private room,60,25,2,1,0,2.4,342.0
Modern Upper West Side Luxury!!,9143200,Manhattan,Upper West Side,40.79466,-73.97173,Entire home/apt,160,3,2,1,0,53.333333333333336,1120.0
CrashPadsUSA for Airline Crew. Nightly HOTBEDS,63560790,Queens,Kew Gardens,40.70375,-73.8304,Shared room,45,1,17,2,365,45.0,50.0
Brightly Skylit 3 Bedroom Soho Loft,62316222,Manhattan,SoHo,40.72064,-73.99957,Entire home/apt,595,5,51,1,347,119.0,32.0
Sunlit bright home.,63623329,Brooklyn,Crown Heights,40.67832,-73.95128,Private room,60,3,5,1,0,20.0,1001.0
Trendy & spacious Williamsburg Apt,7640852,Brooklyn,Williamsburg,40.71178,-73.95779,Private room,95,2,0,1,0,47.5,0.0
"Magical Artist Brownstone, Beautiful  Colors Room",41099363,Brooklyn,Fort Greene,40.68762,-73.97516,Private room,150,4,2,3,193,37.5,90.0
Big Sunny 1 Bdrm Apt - Midtown NYC,35587586,Manhattan,Hell's Kitchen,40.76594,-73.9851,Entire home/apt,200,1,0,1,0,200.0,0.0
Upper west side luxury building,39111035,Manhattan,Upper West Side,40.78079,-73.98826,Private room,160,2,2,1,0,80.0,1041.0
Artist Apartment in Heart of West Village ❤️,3167887,Manhattan,West Village,40.73178,-74.00173,Entire home/apt,300,5,88,1,121,60.0,14.0
Cozy 1 bdrm near Prospect Park/BK,4501003,Brooklyn,Flatbush,40.64117,-73.96038,Entire home/apt,99,1,3,1,0,99.0,1144.0
Charming Modern Bed-Stuy Brooklyn Townhouse W/Yard,12986134,Brooklyn,Bedford-Stuyvesant,40.68285,-73.91516,Entire home/apt,150,3,0,1,334,50.0,0.0
Cosy Room in Ridgewood/Bushwick,4386682,Queens,Ridgewood,40.7024,-73.9106,Private room,35,5,7,3,0,7.0,128.0
Light filled modern APT in DUMBO,5251483,Brooklyn,Vinegar Hill,40.70328,-73.98314,Entire home/apt,170,4,2,1,0,42.5,1080.0
Sunny room in a 2 bedroom apartment,17737517,Manhattan,East Harlem,40.80012,-73.94272,Private room,65,1,0,1,0,65.0,0.0
Sunny living room and great location in Brooklyn,3274929,Brooklyn,Flatbush,40.63549,-73.95817,Shared room,38,3,27,1,84,12.666666666666666,75.0
Spacious Room in Williamsburg,31919152,Brooklyn,Williamsburg,40.70878,-73.94441,Private room,60,7,0,1,0,8.571428571428571,0.0
Soho PH 2 Bedroom Private Terrace,63702305,Manhattan,SoHo,40.72289,-73.9974,Entire home/apt,500,4,72,1,330,125.0,7.0
"Spacious, Sunny Room in Park Slope",24253453,Brooklyn,Park Slope,40.67549,-73.98057,Private room,85,2,1,2,0,42.5,1109.0
Entire Williamsburg apt.,12446288,Brooklyn,Williamsburg,40.71541,-73.93748,Entire home/apt,110,3,4,1,0,36.666666666666664,404.0
Cozy room in Upper East Side,9427555,Manhattan,East Harlem,40.78825,-73.9487,Private room,60,8,6,1,0,7.5,739.0
1BR Bright & Spacious in West Harlem,27488921,Manhattan,Harlem,40.80403,-73.95427,Entire home/apt,148,6,44,1,280,24.666666666666668,15.0
"Stylish, Spacious 1 BR Apt in Heart of Village",63755360,Manhattan,East Village,40.72548,-73.9857,Entire home/apt,133,2,72,1,0,66.5,14.0
Alcove Studio,19586959,Manhattan,Hell's Kitchen,40.75519,-73.99331,Entire home/apt,160,1,0,1,0,160.0,0.0
Spacious Modern Manhattan 2BR,50976547,Manhattan,East Village,40.72175,-73.98088,Entire home/apt,250,3,1,1,0,83.33333333333333,1162.0
10minutes to Manhattan from Astoria,37188098,Queens,Astoria,40.76088,-73.92233,Private room,95,1,13,2,183,95.0,1065.0
Central Park North- 1 bed Apt to share (female),13509844,Manhattan,East Harlem,40.79665,-73.94928,Private room,69,7,7,1,0,9.857142857142858,1058.0
Luxurious 1 Bedroom Apt!,2705455,Queens,Long Island City,40.74284,-73.95755,Entire home/apt,180,6,1,1,0,30.0,1144.0
Artist's Budget Apartment,63790712,Manhattan,Harlem,40.80477,-73.95454,Private room,40,2,16,2,0,20.0,185.0
Large Bedroom,63800453,Brooklyn,Flatbush,40.63836,-73.95698,Private room,85,1,6,1,0,85.0,918.0
Private room available in 2 bedroom apartment,3630684,Brooklyn,Bushwick,40.70487,-73.92127,Private room,65,3,11,1,0,21.666666666666668,36.0
Private Bedroom Near Prospect Park,32306916,Brooklyn,Crown Heights,40.67324,-73.95157,Private room,55,1,4,1,0,55.0,1149.0
East Village Couch Crash 9PM-9AM,1212041,Manhattan,East Village,40.72982,-73.98823,Shared room,75,1,4,2,0,75.0,1026.0
Charming 1 BR apartment east of Central Park,13209857,Manhattan,East Harlem,40.7887,-73.94736,Entire home/apt,125,3,11,1,0,41.666666666666664,321.0
Affordable Private Cozy Room!,45990565,Bronx,Morris Heights,40.8522,-73.91014,Private room,26,3,21,2,127,8.666666666666666,30.0
Spacious 1BR Williamsburg Apartment,18994094,Brooklyn,Williamsburg,40.71214,-73.95837,Entire home/apt,175,2,28,1,0,87.5,77.0
Sunlit Red Hook Pied-à-terre,3752933,Brooklyn,Red Hook,40.67849,-74.01178,Private room,85,2,66,1,59,42.5,14.0
Bright Apartment in Clinton Hill,7306184,Brooklyn,Clinton Hill,40.68517,-73.9666,Entire home/apt,179,5,0,1,0,35.8,0.0
Huge sunny bedroom in Crown Heights,9028473,Brooklyn,Crown Heights,40.67265,-73.94674,Private room,75,1,0,1,0,75.0,0.0
SUNNY and SPACIOUS room in Brooklyn,63914230,Brooklyn,Williamsburg,40.7128,-73.9605,Private room,76,5,1,1,0,15.2,1091.0
Quiet Chelsea One Bedroom,29084038,Manhattan,Chelsea,40.73911,-74.00047,Entire home/apt,225,30,87,1,280,7.5,30.0
Beautiful Bedroom on Hudson River/Riverside Park,63928471,Manhattan,Harlem,40.83342,-73.94949,Private room,40,1,6,1,0,40.0,108.0
Fully Furnished & Sunny UES Studio,22089496,Manhattan,Upper East Side,40.76053,-73.96181,Entire home/apt,110,2,22,1,0,55.0,36.0
Posh Madison Ave Apt,61391963,Manhattan,Upper East Side,40.78328,-73.95695,Entire home/apt,117,30,8,91,311,3.9,78.0
Beautiful studio,63935825,Queens,Ditmars Steinway,40.77872,-73.91396,Entire home/apt,78,1,4,1,0,78.0,1136.0
Artistic NEW LOFT 4 br/2 bath in Times Sq,63940105,Manhattan,Hell's Kitchen,40.76268,-73.99235,Entire home/apt,800,3,59,1,263,266.6666666666667,15.0
One Bedroom Apartment in Greenpoint!,15817123,Brooklyn,Greenpoint,40.73164,-73.95323,Entire home/apt,65,1,152,3,1,65.0,20.0
Modern Clean Studio 2 blocks from Central Park,1410306,Manhattan,Upper West Side,40.78592,-73.97447,Entire home/apt,105,1,181,1,175,105.0,2.0
Huge room in central Bushwick flat,4411040,Brooklyn,Bushwick,40.69669,-73.92785,Private room,45,1,3,1,0,45.0,1108.0
Your cozy and cute space 7 train,17638424,Queens,Elmhurst,40.74561,-73.87344,Private room,34,1,89,8,164,34.0,5.0
The Heart of west HARLEM-With a European flair,5388411,Manhattan,Harlem,40.82776,-73.94701,Entire home/apt,90,3,0,1,0,30.0,0.0
Lovely Room in Beautiful Brooklyn,54043278,Brooklyn,Bedford-Stuyvesant,40.68583,-73.95677,Private room,65,3,0,1,0,21.666666666666668,0.0
2BR Comfy Apt - 15min from MIDTOWN,15789646,Queens,Sunnyside,40.74518,-73.91704,Entire home/apt,150,30,7,2,338,5.0,185.0
Clean/Elegant HK Apt. w/ Cute Bear,10461612,Manhattan,Hell's Kitchen,40.76257,-73.98603,Entire home/apt,160,3,20,1,0,53.333333333333336,770.0
Prime Brand New 1 bed!5206,16098958,Manhattan,Murray Hill,40.74962,-73.97431,Entire home/apt,250,30,2,96,337,8.333333333333334,180.0
Mysig tvåa på Upper East Side,64027912,Manhattan,Upper East Side,40.76955,-73.95002,Entire home/apt,106,1,0,1,0,106.0,0.0
COLUMBIA PRESBYTERIAN MED CTR *ARIA* 1 Bedroom Apt,25237492,Manhattan,Washington Heights,40.84216,-73.94101,Entire home/apt,95,30,7,34,322,3.1666666666666665,519.0
Large Private Room in Midtown East,46889591,Manhattan,Upper East Side,40.76272,-73.96269,Private room,69,1,4,1,0,69.0,1149.0
Bed-Sty Fly,27709477,Brooklyn,Bedford-Stuyvesant,40.68612,-73.94384,Entire home/apt,145,2,100,1,296,72.5,15.0
Sunny 1 BR Apt in Bed Stuy,25810,Brooklyn,Bedford-Stuyvesant,40.68521,-73.95089,Entire home/apt,75,5,7,1,0,15.0,332.0
A cozy place to set your mind free.,59473349,Brooklyn,East New York,40.67729,-73.87996,Entire home/apt,70,5,37,1,263,14.0,10.0
Huge apartment in beautiful Brooklyn Brownstone,9217610,Brooklyn,Greenpoint,40.7279,-73.94494,Entire home/apt,225,6,0,2,0,37.5,0.0
Cozy & Comfortable Private Bedroom,28121352,Queens,Elmhurst,40.74503,-73.87671,Private room,43,2,27,1,0,21.5,615.0
Sunny and comfortable Apartment,35253342,Brooklyn,Fort Hamilton,40.62168,-74.03023,Entire home/apt,121,20,23,3,294,6.05,86.0
Private room in Bushwick!,13318184,Brooklyn,Williamsburg,40.70553,-73.94203,Private room,50,1,0,4,0,50.0,0.0
"Cozy, quiet, studio apartment",1598283,Manhattan,East Village,40.73072,-73.99174,Entire home/apt,198,3,31,1,57,66.0,27.0
Gorgeous large sunny room in NYC!,116382,Brooklyn,Crown Heights,40.6703,-73.94209,Private room,109,2,115,5,352,54.5,8.0
"Sunny, Quiet Downtown 1BR Apt - Great location!",42047615,Manhattan,Chelsea,40.74069,-74.00069,Entire home/apt,199,30,1,2,292,6.633333333333334,980.0
Well located apartment near NY City,64170911,Bronx,Riverdale,40.8883,-73.91665,Entire home/apt,150,2,79,1,267,75.0,8.0
Comfortable Bedroom right by express subway!,64170751,Brooklyn,Crown Heights,40.66759,-73.95187,Private room,49,3,5,1,0,16.333333333333332,820.0
~Luxury 1 bedroom apt. near Columbus Circle,30283594,Manhattan,Midtown,40.76528,-73.98175,Entire home/apt,239,30,0,121,351,7.966666666666667,0.0
Entire  Large Park Slope 2BR Apt,6132748,Brooklyn,Park Slope,40.68224,-73.97785,Entire home/apt,100,1,0,1,0,100.0,0.0
NYC Midtown-West Luxury 1BR Apt.,30283594,Manhattan,Midtown,40.76554,-73.98289,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
NYC  modern 1 bedroom apt. near Carnegie Hall!,30283594,Manhattan,Midtown,40.76537,-73.98332,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
"Stunning, Waterfront Views! Williamsburg Brooklyn",2295610,Brooklyn,Williamsburg,40.71214,-73.96866,Entire home/apt,170,3,21,1,0,56.666666666666664,36.0
Luxury 1-Bedroom Midtown West NYC Apartment,30283594,Manhattan,Midtown,40.76573,-73.98295,Entire home/apt,239,30,1,121,352,7.966666666666667,593.0
Brooklyn / Williamsburg / Cozy Large Private Room,43170685,Brooklyn,Williamsburg,40.71135,-73.94435,Private room,80,1,1,1,0,80.0,1177.0
Luxury 1-Bedroom NYC apt. near Rockefeller Center!,30283594,Manhattan,Midtown,40.76497,-73.98201,Entire home/apt,239,30,0,121,351,7.966666666666667,0.0
Luxury 1 Bedroom Midtown West Apartment!,30283594,Manhattan,Midtown,40.76526,-73.9817,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
Sleek 1 bedroom apt. near Times Square!,30283594,Manhattan,Hell's Kitchen,40.76685,-73.98363,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
Sunshine Studio near Columbia U,22099204,Manhattan,Upper West Side,40.80229,-73.96719,Entire home/apt,80,1,2,1,0,80.0,957.0
Charming Brownstone w/Backyard,4106320,Brooklyn,Bedford-Stuyvesant,40.67909,-73.93222,Entire home/apt,140,2,33,1,145,70.0,29.0
Studio in the Heart of Gramercy!,21661360,Manhattan,Gramercy,40.73638,-73.98453,Entire home/apt,240,2,0,1,0,120.0,0.0
Private Master Bedroom in Luxury Bu,13340829,Brooklyn,Crown Heights,40.67543,-73.96312,Private room,60,5,1,1,0,12.0,1054.0
Prime Central Park West Pied à Terre,44596503,Manhattan,Upper West Side,40.78466,-73.97276,Entire home/apt,200,2,128,1,231,100.0,21.0
Spacious Lower Manhattan Apt!,18978289,Manhattan,Two Bridges,40.71127,-73.99838,Entire home/apt,159,2,3,1,0,79.5,652.0
Adorable One Bedroom Apartment w/ Balcony!,15817123,Brooklyn,Greenpoint,40.73203,-73.95263,Entire home/apt,65,1,56,3,0,65.0,254.0
Large Private Room in Kips Bay/Murray Hill,5707158,Manhattan,Kips Bay,40.74418,-73.97565,Private room,70,3,2,2,0,23.333333333333332,1012.0
Plush 2 Bedroom Midtown West NYC Apartment,30283594,Manhattan,Midtown,40.76647,-73.9829,Entire home/apt,369,30,0,121,345,12.3,0.0
Penthouse with PRIVATE ROOFTOP on Upper West Side,36076005,Manhattan,Upper West Side,40.77961,-73.98441,Private room,120,3,9,1,365,40.0,651.0
High-end bright 1 bedroom apt. in Midtown West,30283594,Manhattan,Midtown,40.76484,-73.98326,Entire home/apt,239,30,0,121,348,7.966666666666667,0.0
East Village- The location,14731964,Manhattan,East Village,40.73273,-73.98667,Private room,125,1,36,1,81,125.0,1.0
Spacious One Bedroom with Private Roof,59489089,Brooklyn,Bedford-Stuyvesant,40.68813,-73.95773,Entire home/apt,200,3,6,1,0,66.66666666666667,342.0
Nice And Clean Room In East Harlem,63403077,Manhattan,East Harlem,40.79741,-73.93884,Private room,50,29,40,2,0,1.7241379310344827,69.0
GREAT Bright Manhtattan Apartment!,87266,Manhattan,Harlem,40.8245,-73.94264,Entire home/apt,120,150,10,1,331,0.8,62.0
East Village Apt with Balcony,26806527,Manhattan,Gramercy,40.73477,-73.98069,Shared room,100,1,0,1,0,100.0,0.0
Loft w/ Manhattan skyline view,1534297,Brooklyn,Williamsburg,40.70843,-73.96924,Private room,80,1,2,1,0,80.0,1116.0
Cozy centrally located LES apt,39856008,Manhattan,Lower East Side,40.71869,-73.99141,Entire home/apt,140,1,1,1,0,140.0,1177.0
Sunset Retreat - Top Floor Oasis,50292584,Brooklyn,Sunset Park,40.6423,-74.01275,Entire home/apt,105,2,66,2,360,52.5,29.0
Vibrant Crown Heights,51159504,Brooklyn,Crown Heights,40.66676,-73.92957,Private room,49,3,3,1,365,16.333333333333332,274.0
House On Henry Parlor Apartment,11481,Brooklyn,Carroll Gardens,40.6789,-74.00117,Entire home/apt,180,4,5,3,333,45.0,61.0
Full-size loft bed in East Village,14476679,Manhattan,East Village,40.72659,-73.97848,Private room,70,1,3,1,0,70.0,1107.0
East Village Oasis,42435983,Manhattan,East Village,40.72296,-73.98322,Entire home/apt,450,1,45,1,287,450.0,7.0
Comfy Bedroom in Crown Heights close to Subway,62345719,Brooklyn,Crown Heights,40.66734,-73.94232,Private room,44,2,5,1,0,22.0,377.0
Charming Park Slope Apartment,8303104,Brooklyn,South Slope,40.66801,-73.98773,Private room,89,1,102,1,269,89.0,5.0
Prime Carroll Gardens Apartment,35027358,Brooklyn,Carroll Gardens,40.68268,-73.99687,Entire home/apt,172,2,90,1,87,86.0,8.0
Luxury building- 2BR/2BA in Chelsea,438593,Manhattan,Chelsea,40.74391,-73.99582,Entire home/apt,350,1,2,2,0,350.0,1177.0
I just need to lay my head down,64341665,Manhattan,Harlem,40.81942,-73.94264,Private room,68,1,49,2,365,68.0,43.0
Cozy And Clean Harlem Room,63403077,Manhattan,East Harlem,40.79796,-73.93921,Private room,52,32,57,2,39,1.625,156.0
Cozy room in a brand new building !,64355945,Queens,Rego Park,40.72526,-73.85973,Private room,70,2,32,1,89,35.0,7.0
Charming house in Coney Island,52474491,Brooklyn,Sea Gate,40.57804,-74.01024,Entire home/apt,223,1,1,3,0,223.0,1197.0
Comfortable and Spacious Bedroom,52474491,Brooklyn,Sea Gate,40.57857,-74.01012,Private room,71,1,0,3,0,71.0,0.0
Comfortable and Spacious Bedroom B,52474491,Brooklyn,Sea Gate,40.57774,-74.01022,Private room,97,1,2,3,0,97.0,1197.0
Room right on Central Park!,20353296,Manhattan,East Harlem,40.79663,-73.94893,Private room,75,1,5,1,0,75.0,1052.0
Private Theatre District Bedroom,7695223,Manhattan,Hell's Kitchen,40.75857,-73.98942,Private room,65,2,6,1,0,32.5,933.0
Comfortable 420 Friendly Room,64411228,Brooklyn,Williamsburg,40.70922,-73.95232,Private room,64,1,25,1,0,64.0,56.0
Nice Big Room With Backyard.,7913863,Brooklyn,Williamsburg,40.70766,-73.95216,Private room,59,2,138,1,268,29.5,18.0
Modern Artsy Room in BK Near Subway,11028022,Brooklyn,Crown Heights,40.66633,-73.93507,Private room,100,3,0,1,0,33.333333333333336,0.0
Beautiful Sunny Fire Escape Room,64444742,Brooklyn,Bushwick,40.69305,-73.90825,Private room,60,2,21,1,364,30.0,27.0
NY Queens Penthouse = 1MASTER aka Manhattan Room,34861728,Queens,Kew Gardens,40.70911,-73.8296,Private room,73,9,2,4,276,8.11111111111111,301.0
NY Queens Penthouse HOME with Patio,34861728,Queens,Kew Gardens,40.70764,-73.83116,Entire home/apt,219,9,2,4,273,24.333333333333332,186.0
Lrg 2 BR Duplex Top 2 Flrs Terrace West Village,64454893,Manhattan,Greenwich Village,40.73426,-73.99476,Entire home/apt,999,3,11,1,164,333.0,65.0
On 5th Ave! Easy to shopping,64528384,Manhattan,Chelsea,40.73844,-73.99262,Private room,150,60,0,1,0,2.5,0.0
Your lovely and cozy space 7 train,17638424,Queens,Elmhurst,40.74485,-73.87552,Private room,52,1,108,8,174,52.0,1.0
Luxury IBR apmt in Crown Heights,64534798,Brooklyn,Crown Heights,40.66505,-73.95213,Entire home/apt,90,2,2,1,0,45.0,1150.0
1BD Park views UWS,6255163,Manhattan,Upper West Side,40.79982,-73.96192,Entire home/apt,150,2,16,1,220,75.0,37.0
Stunning Central Park West Location,36306552,Manhattan,Upper West Side,40.77713,-73.97758,Entire home/apt,325,1,43,1,223,325.0,17.0
Cozy private 1.5BR Garden Apartment w/ backyard,44332076,Manhattan,Washington Heights,40.84915,-73.93317,Entire home/apt,170,5,24,1,121,34.0,75.0
Modern Studio in Middle Village,8896489,Queens,Maspeth,40.72153,-73.88753,Entire home/apt,79,3,64,1,311,26.333333333333332,15.0
Forte Green Townhouse Room Rental,8456000,Brooklyn,Clinton Hill,40.69619,-73.96944,Private room,175,1,17,2,179,175.0,37.0
Private Room in Upper West Side,45103252,Manhattan,Upper West Side,40.78807,-73.97406,Private room,75,1,0,1,0,75.0,0.0
The Healing Place,39863896,Brooklyn,Crown Heights,40.67292,-73.94033,Entire home/apt,120,3,70,1,208,40.0,35.0
"Big apartment, comfy - calm bedroom",64561100,Manhattan,Harlem,40.81574,-73.94871,Private room,72,1,98,1,204,72.0,18.0
Beautiful Studio Near Prospect Park,64568425,Brooklyn,Prospect-Lefferts Gardens,40.66099,-73.96083,Entire home/apt,80,1,0,1,0,80.0,0.0
Adorable Upper East Side Studio,64576222,Manhattan,Upper East Side,40.78115,-73.9466,Entire home/apt,175,4,0,1,0,43.75,0.0
Luxury Harlem Apartment,64578817,Manhattan,Harlem,40.8097,-73.94256,Entire home/apt,125,5,15,1,0,25.0,672.0
Cozy Room,5017724,Manhattan,Theater District,40.75827,-73.98825,Private room,200,5,4,1,365,40.0,994.0
Luxury Penthouse w/ Roofdecks,64632152,Manhattan,East Village,40.72399,-73.99109,Entire home/apt,1000,4,19,1,349,250.0,52.0
Beautiful private room in Bedstuy,13406868,Brooklyn,Bedford-Stuyvesant,40.68464,-73.95002,Private room,45,4,1,1,0,11.25,1149.0
Charming 1 Bedroom in Chelsea!,3555480,Manhattan,Chelsea,40.74507,-73.99452,Entire home/apt,175,7,6,1,0,25.0,667.0
Luxury room in 2 bedroom apartment,20161989,Brooklyn,Midwood,40.62462,-73.95508,Private room,89,2,5,1,365,44.5,623.0
Downtown style in the Bronx,64678583,Bronx,Mott Haven,40.8098,-73.92149,Private room,500,10,0,1,358,50.0,0.0
"Spacious, Sunny, Happy Studio",41280277,Manhattan,Washington Heights,40.85496,-73.93406,Entire home/apt,84,2,0,1,0,42.0,0.0
"UES area ,Luxury modern quiet private Apt",64676041,Manhattan,East Harlem,40.78784,-73.94998,Entire home/apt,149,5,88,1,326,29.8,14.0
Comfy Bed Stuy 1br with Balcony,2596681,Brooklyn,Bedford-Stuyvesant,40.69764,-73.94929,Entire home/apt,110,3,10,1,0,36.666666666666664,368.0
TRENDY Brooklyn room,48764969,Brooklyn,Bushwick,40.6826,-73.90411,Private room,40,6,28,2,298,6.666666666666667,85.0
Cute & Cozy Cobble Hill Apt,37820765,Brooklyn,Columbia St,40.68685,-74.00112,Entire home/apt,98,2,14,1,0,49.0,797.0
Spacious Studio Apartment,5749328,Manhattan,Upper West Side,40.7771,-73.97729,Entire home/apt,160,3,36,1,318,53.333333333333336,15.0
Cozy shared male room in center of Manhattan III\),39528519,Manhattan,Lower East Side,40.71171,-73.98871,Shared room,32,14,0,28,341,2.2857142857142856,0.0
Luxury Full Central Park View Apart,35329442,Manhattan,Upper West Side,40.80031,-73.95847,Entire home/apt,380,2,6,1,0,190.0,939.0
Sunny Private Brooklyn Bedroom w/ Backyard Access,31230100,Brooklyn,Crown Heights,40.67298,-73.95561,Private room,35,7,1,3,157,5.0,1088.0
Private bedroom for 2-4 night stay in Clinton Hill,2134560,Brooklyn,Clinton Hill,40.69011,-73.96656,Private room,100,2,0,1,0,50.0,0.0
NYC Midtown West 1 bedroom luxury apartment!,30283594,Manhattan,Midtown,40.76571,-73.98312,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
Location Chambre,47954479,Brooklyn,Bedford-Stuyvesant,40.69363,-73.95084,Private room,51,1,0,1,0,51.0,0.0
Entire huge 2BR Apt in East Village - Aug. 14-27!!,7226962,Manhattan,East Village,40.72716,-73.98264,Entire home/apt,200,4,3,1,0,50.0,1046.0
Plush Studio Apartment in Midtown West NYC,30283594,Manhattan,Hell's Kitchen,40.76626,-73.98342,Entire home/apt,129,30,0,121,133,4.3,0.0
Sleek 1 BR apt. near major attractions in NYC!,30283594,Manhattan,Midtown,40.76536,-73.98199,Entire home/apt,239,30,0,121,351,7.966666666666667,0.0
Cozy Upper East Side 1 Bedroom,64765550,Manhattan,Upper East Side,40.77924,-73.94924,Entire home/apt,140,1,4,1,0,140.0,1102.0
Lux 1 BR NYC Midtown West Apartment,30283594,Manhattan,Hell's Kitchen,40.76642,-73.98326,Entire home/apt,239,30,0,121,364,7.966666666666667,0.0
East Village 1B in 3B apt,51924404,Manhattan,East Village,40.72966,-73.98476,Private room,56,1,2,1,0,56.0,1132.0
Sophisticated 1 bedroom apt. in Midtown West!,30283594,Manhattan,Midtown,40.76567,-73.98308,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
Delightful 1BR close to upscale shopping in NYC,30283594,Manhattan,Hell's Kitchen,40.76666,-73.98306,Entire home/apt,239,30,1,121,352,7.966666666666667,464.0
Lux 1BR NYC apt. steps from  Carnegie Hall!,30283594,Manhattan,Midtown,40.76511,-73.98345,Entire home/apt,239,30,0,121,352,7.966666666666667,0.0
Peaceful Private Room In Warm Brooklyn Apt,4462547,Brooklyn,Prospect Heights,40.67834,-73.96685,Private room,37,180,0,1,0,0.20555555555555555,0.0
